right_ankle_x,right_ankle_y,right_knee_x,right_knee_y,right_hip_x,right_hip_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,left_ankle_x,left_ankle_y,pelvis_x,pelvis_y,thorax_x,thorax_y,upper_neck_x,upper_neck_y,head_top_x,head_top_y,right_wrist_x,right_wrist_y,right_elbow_x,right_elbow_y,right_shoulder_x,right_shoulder_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,left_wrist_x,left_wrist_y
411,938,431,725,469,493,576,493,624,716,653,928,518,493,527,232,518,174,518,20,498,290,382,368,421,242,624,232,672,348,566,300
411,933,385,740,461,588,571,588,655,748,638,933,520,588,512,344,512,302,503,150,470,377,377,495,411,377,621,352,672,462,562,394
414,934,389,762,478,743,567,736,663,755,644,934,516,743,516,558,516,507,516,367,497,571,401,704,420,577,618,558,675,673,567,596
412,936,388,748,451,606,577,606,656,771,640,928,514,606,514,418,514,347,506,205,467,528,381,559,412,418,616,402,671,528,577,543
411,938,431,725,469,493,576,493,624,716,653,928,518,493,527,232,518,174,518,20,498,290,382,368,421,242,624,232,672,348,566,300
