right_ankle_x,right_ankle_y,right_knee_x,right_knee_y,right_hip_x,right_hip_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,left_ankle_x,left_ankle_y,pelvis_x,pelvis_y,thorax_x,thorax_y,upper_neck_x,upper_neck_y,head_top_x,head_top_y,right_wrist_x,right_wrist_y,right_elbow_x,right_elbow_y,right_shoulder_x,right_shoulder_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,left_wrist_x,left_wrist_y
913,932,932,719,961,496,1077,496,1106,719,1145,932,1010,496,1019,234,1019,167,1019,21,990,302,884,370,913,244,1116,225,1174,351,1068,322
909,936,900,724,955,549,1066,540,1139,724,1139,927,1020,549,1010,291,1010,227,1001,79,973,319,881,420,909,300,1112,291,1176,393,1056,328
907,936,883,743,964,623,1076,623,1156,743,1140,928,1020,623,1012,414,1012,358,1004,213,972,430,883,543,907,430,1116,406,1172,510,1060,438
910,934,889,751,967,695,1065,695,1157,744,1136,934,1023,695,1016,491,1016,448,1009,307,981,512,889,632,910,519,1115,505,1171,610,1065,533
911,929,886,761,976,742,1059,736,1156,755,1137,929,1014,742,1014,555,1014,504,1014,368,989,575,898,703,918,575,1111,555,1169,671,1066,594
